summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,violation_county,violation_in_front_of_or,street_name,intersecting_street,date_first_observed,law_section,sub_division,days_parking_in_effect,from_hours_in_effect,to_hours_in_effect,vehicle_color,unregistered_vehicle,vehicle_year,meter_number,feet_from_curb,house_number,time_first_observed,violation_legal_code,violation_description
1473192067,JRG2928,NY,PAS,2022-07-03T00:00:00.000,24,SUBN,SUBAR,P,44890,10510,14010,20240428,1,1,1,971246,0001,0000,0102A,,F,W BROADWAY,,0,408,C3,BBBBBBB,ALL,ALL,GREY,0,2016,-,0,281,0902A,,
1473195809,HUU7130,NY,PAS,2022-06-11T00:00:00.000,98,SDN,FORD,P,34930,11110,11112,20231221,18,18,18,968198,0018,0000,1050A,NY,F,W 58 ST,,0,408,D3,BBBBBBB,ALL,ALL,G,0,2017,-,0,625,,,
1473195846,HGM7718,NY,PAS,2022-06-11T00:00:00.000,98,SDN,ME/BE,P,34930,11110,11112,20220513,18,18,18,971413,0018,0000,1050A,,F,W 58 ST,,0,408,F2,BBBBBBB,ALL,ALL,,0,0,-,0,625,1050A,,
1473198756,HMZ3309,NY,PAS,2022-06-08T00:00:00.000,20,SDN,HYUND,P,34870,10810,10910,20230401,18,18,18,966176,0018,0000,1150A,NY,F,W 55 STREET,,0,408,D,BBBBBBB,0800A,0700P,BLUE,0,2010,-,0,350,,,
1473198768,GKY5301,NY,PAS,2022-06-08T00:00:00.000,20,SDN,HONDA,P,34870,10810,10910,20220818,18,18,18,966176,0018,0000,1158A,NY,F,W 55 STREET,,0,408,D,BBBBBBB,1000A,0400P,GREY,0,2015,-,0,357,,,
1473198811,JDX5218,ME,PAS,2022-06-08T00:00:00.000,20,SDN,CHEVR,P,34870,10810,10910,0,18,18,18,933293,0018,0000,1155A,NY,F,W 55 ST,,0,408,D,YYYYYBB,0800A,0700P,BK,0,0,-,0,350,,,
1473198847,GRD8487,NY,PAS,2022-06-08T00:00:00.000,20,SDN,NISSA,P,34870,10810,10910,20220630,18,18,18,962599,0018,0000,1156A,NY,F,W 55TH ST,,0,408,D,YYYYYBB,0800A,0700P,GREY,0,2018,-,0,350,,,
1473198896,KTG7477,NY,PAS,2022-06-16T00:00:00.000,20,SUBN,MAZDA,P,0,0,0,20240104,,0,18,972875,0018,0000,0502P,,,,,0,408,F2,YYYYYBB,0800A,0700P,GRAY,0,2013,-,0,,,,
1473199852,JDB7974,NY,PAS,2022-06-04T00:00:00.000,20,SUBN,SUBAR,P,34870,10810,10910,20230313,18,18,18,973293,0018,0000,1146A,,F,W 55 ST,,0,408,C,YYYYYBB,0800A,0700P,BK,0,2020,-,0,310,,,
1473199876,JLK5278,99,PAS,2022-06-08T00:00:00.000,20,SUBN,MAZDA,P,34870,10810,10910,20230825,18,18,18,933293,0018,0000,1152A,,F,W 55 ST,,0,408,D,YYYYYBB,0800A,0700P,RD,0,2005,-,0,340,,,
